Rc348	OUT#3	OUT#14256	13.48,-3.1 	13.48,1.35
Rc349	OUT#8359	OUT#8371	12.04,-8.3495 	12.04,-3.1
Rc350	OUT#8371	OUT#14258	12.04,-3.1 	12.04,1.35
Rc351	OUT#14259	OUT#8374	16.36,-10.35 	16.36,-14.8
Rc352	OUT#8374	OUT#8375	16.36,-14.8 	16.36,-20.0495
Rc359	OUT#8375	OUT#8382	14.92,-20.0495 	14.92,-14.8
Rc360	OUT#8382	OUT#14269	14.92,-14.8 	14.92,-10.35
Rc361	OUT#8375	OUT#3	13.48,-20.0495 	13.48,-14.8
Rc362	OUT#3	OUT#14271	13.48,-14.8 	13.48,-10.35
Rc363	OUT#8375	OUT#8387	12.04,-20.0495 	12.04,-14.8
Rc364	OUT#8387	OUT#14273	12.04,-14.8 	12.04,-10.35
Rc365	VDDHV#13749	VDDHV#177	11.32,-7.55 	11.32,-3.1
Rc369	VDDHV#177	VDDHV#8009	12.76,2.15 	12.76,-3.1
Rc370	VDDHV#8009	VDDHV#13755	12.76,-3.1 	12.76,-7.55
Rc374	VDDHV#177	VDDHV#13759	14.2,-3.1 	14.2,-7.55
Rc376	VDDHV#177	VDDHV#8004	15.64,2.15 	15.64,-3.1
Rc377	VDDHV#8004	VDDHV#13762	15.64,-3.1 	15.64,-7.55
Rc379	VDDHV#13764	VDDHV#177	11.32,-19.25 	11.32,-14.8
Rc383	VDDHV#177	VDDHV#8026	12.76,-9.5495 	12.76,-14.8
Rc384	VDDHV#8026	VDDHV#13770	12.76,-14.8 	12.76,-19.25
Rc388	VDDHV#177	VDDHV#13774	14.2,-14.8 	14.2,-19.25
Rc390	VDDHV#177	VDDHV#8021	15.64,-9.5495 	15.64,-14.8
Rc391	VDDHV#8021	VDDHV#13777	15.64,-14.8 	15.64,-19.25
Rc393	OUT#14274	OUT#8390	22.4,1.35 	22.4,-3.1
Rc394	OUT#8390	OUT#8391	22.4,-3.1 	22.4,-8.3495
Rc401	OUT#8391	OUT#8398	20.96,-8.3495 	20.96,-3.1
Rc402	OUT#8398	OUT#14284	20.96,-3.1 	20.96,1.35
Rc403	OUT#8391	OUT#3	19.52,-8.3495 	19.52,-3.1
Rc404	OUT#3	OUT#14286	19.52,-3.1 	19.52,1.35
Rc405	OUT#8391	OUT#8403	18.08,-8.3495 	18.08,-3.1
Rc406	OUT#8403	OUT#14288	18.08,-3.1 	18.08,1.35
Rc407	OUT#14289	OUT#8406	22.4,-10.35 	22.4,-14.8
Rc408	OUT#8406	OUT#8407	22.4,-14.8 	22.4,-20.0495
Rc415	OUT#8407	OUT#8414	20.96,-20.0495 	20.96,-14.8
Rc416	OUT#8414	OUT#14299	20.96,-14.8 	20.96,-10.35
Rc417	OUT#8407	OUT#3	19.52,-20.0495 	19.52,-14.8
Rc418	OUT#3	OUT#14301	19.52,-14.8 	19.52,-10.35
Rc419	OUT#8407	OUT#8419	18.08,-20.0495 	18.08,-14.8
Rc420	OUT#8419	OUT#14303	18.08,-14.8 	18.08,-10.35
Rc421	VDDHV#13779	VDDHV#177	17.36,-7.55 	17.36,-3.1
Rc425	VDDHV#177	VDDHV#8043	18.8,2.15 	18.8,-3.1
Rc426	VDDHV#8043	VDDHV#13785	18.8,-3.1 	18.8,-7.55
Rc430	VDDHV#177	VDDHV#13789	20.24,-3.1 	20.24,-7.55
Rc432	VDDHV#177	VDDHV#8038	21.68,2.15 	21.68,-3.1
Rc433	VDDHV#8038	VDDHV#13792	21.68,-3.1 	21.68,-7.55
